
SESSION 2 initiated 12-Jun-2017 11:43:47 for SUBJECT number 100

session	trial	pair	onset	dur	cue         	associate   
2	1	6	2003  	2000  	PIN         	pici18.jpg  
2	2	4	10003 	2002  	HAMMER      	pico14.jpg  
2	3	8	18009 	2002  	ISLAND      	pici30.jpg  
2	4	3	26004 	1997  	PUZZLE      	pici17.jpg  
2	5	7	34006 	2002  	BELL        	pico16.jpg  
2	6	5	42000 	1998  	RAINBOW     	pico20.jpg  
2	7	2	50003 	2000  	PEBBLE      	pico11.jpg  
2	8	1	58001 	1999  	CURTAIN     	pici22.jpg  


SESSION 2 ended 12-Jun-2017 11:45:00 for SUBJECT number 100




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	14	0		15.000	  NaN	-0.0043		1		47		  NaN
2	15	0		15.000	  NaN	0.0019		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	-0.0003		1		55		  NaN
3	2	0		15.000	  NaN	0.0094		1		56		  NaN
3	3	1		15.000	  NaN	-0.0011		1		57		  NaN
3	4	0		15.000	  NaN	0.0147		1		58		  NaN
3	5	0		15.000	  NaN	-0.0029		1		59		  NaN
3	6	1		15.000	  NaN	-0.0006		1		60		  NaN
3	7	0		15.000	  NaN	0.0148		1		61		  NaN
3	8	0		15.000	  NaN	0.0023		1		62		  NaN
3	9	1		15.000	  NaN	0.0036		1		63		  NaN
3	10	0		15.000	  NaN	0.0111		1		64		  NaN
3	11	0		15.000	  NaN	-0.0039		1		65		  NaN
3	12	1		15.000	  NaN	0.0087		1		66		  NaN
3	13	0		15.000	  NaN	-0.0010		1		67		  NaN
3	14	0		15.000	  NaN	0.0011		1		68		  NaN
3	15	0		15.000	  NaN	-0.0033		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		15.000	  NaN	0.0006		1		76		  NaN
4	2	0		15.000	  NaN	-0.0004		1		77		  NaN
4	3	1		15.000	  NaN	0.0162		1		78		  NaN
4	4	0		15.000	  NaN	0.0001		1		79		  NaN
4	5	0		15.000	  NaN	-0.0024		1		80		  NaN
4	6	1		15.000	  NaN	0.0081		1		81		  NaN
4	7	0		15.000	  NaN	0.0116		1		82		  NaN
4	8	0		15.000	  NaN	0.0111		1		83		  NaN
4	9	1		15.000	  NaN	-0.0013		1		84		  NaN
4	10	0		15.000	  NaN	-0.0020		1		85		  NaN
4	11	0		15.000	  NaN	0.0168		1		86		  NaN
4	12	1		15.000	  NaN	0.0016		1		87		  NaN
4	13	0		15.000	  NaN	0.0049		1		88		  NaN
4	14	0		15.000	  NaN	0.0049		1		89		  NaN
4	15	0		15.000	  NaN	0.0063		1		90		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
5	1	0		15.000	  NaN	0.0008		1		97		  NaN
5	2	0		15.000	  NaN	0.0030		1		98		  NaN
5	3	1		15.000	  NaN	0.0025		1		99		  NaN
5	4	0		15.000	  NaN	0.0028		1		100		  NaN
5	5	0		15.000	  NaN	0.0004		1		101		  NaN
5	6	1		15.000	  NaN	0.0162		1		102		  NaN
5	7	0		15.000	  NaN	0.0295		1		103		  NaN
5	8	0		15.000	  NaN	0.0125		1		104		  NaN
5	9	1		15.000	  NaN	-0.0019		1		105		  NaN
5	10	0		15.000	  NaN	0.0158		1		106		  NaN
5	11	0		15.000	  NaN	0.0013		1		107		  NaN
5	12	1		15.000	  NaN	0.0312		1		108		  NaN
5	13	0		15.000	  NaN	-0.0049		1		109		  NaN
5	14	0		15.000	  NaN	0.0055		1		110		  NaN
5	15	0		15.000	  NaN	0.0071		1		111		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
6	1	0		15.000	  NaN	0.0087		1		118		  NaN
6	2	0		15.000	  NaN	0.0031		1		119		  NaN
6	3	1		15.000	  NaN	0.0042		1		120		  NaN
6	4	0		15.000	  NaN	0.0051		1		121		  NaN
6	5	0		15.000	  NaN	0.0043		1		122		  NaN
6	6	1		15.000	  NaN	0.0275		1		123		  NaN
6	7	0		15.000	  NaN	-0.0043		1		124		  NaN
6	8	0		15.000	  NaN	0.0141		1		125		  NaN
6	9	1		15.000	  NaN	-0.0011		1		126		  NaN
6	10	0		15.000	  NaN	-0.0009		1		127		  NaN
6	11	0		15.000	  NaN	0.0158		1		128		  NaN
6	12	1		15.000	  NaN	-0.0016		1		129		  NaN
6	13	0		15.000	  NaN	0.0193		1		130		  NaN
6	14	0		15.000	  NaN	0.0142		1		131		  NaN
6	15	0		15.000	  NaN	-0.0032		1		132		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
7	1	0		15.000	  NaN	-0.0001		1		139		  NaN
7	2	0		15.000	  NaN	0.0015		1		140		  NaN
7	3	1		15.000	  NaN	0.0030		1		141		  NaN
7	4	0		15.000	  NaN	0.0053		1		142		  NaN
7	5	0		15.000	  NaN	0.0062		1		143		  NaN
7	6	1		15.000	  NaN	0.0059		1		144		  NaN
7	7	0		15.000	  NaN	-0.0032		1		145		  NaN
7	8	0		15.000	  NaN	0.0148		1		146		  NaN
7	9	1		15.000	  NaN	0.0175		1		147		  NaN
7	10	0		15.000	  NaN	0.0193		1		148		  NaN
7	11	0		15.000	  NaN	-0.0019		1		149		  NaN
7	12	1		15.000	  NaN	0.0166		1		150		  NaN
7	13	0		15.000	  NaN	0.0024		1		151		  NaN
7	14	0		15.000	  NaN	0.0007		1		152		  NaN
7	15	0		15.000	  NaN	0.0208		1		153		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
8	1	0		15.000	  NaN	-0.0018		1		160		  NaN
8	2	0		15.000	  NaN	0.0231		1		161		  NaN
8	3	1		15.000	  NaN	0.0017		1		162		  NaN
8	4	0		15.000	  NaN	0.0041		1		163		  NaN
8	5	0		15.000	  NaN	0.0048		1		164		  NaN
8	6	1		15.000	  NaN	0.0233		1		165		  NaN
8	7	0		15.000	  NaN	-0.0015		1		166		  NaN
8	8	0		15.000	  NaN	0.0006		1		167		  NaN
8	9	1		15.000	  NaN	0.0015		1		168		  NaN
8	10	0		15.000	  NaN	-0.0037		1		169		  NaN
8	11	0		15.000	  NaN	-0.0034		1		170		  NaN
8	12	1		15.000	  NaN	-0.0016		1		171		  NaN
8	13	0		15.000	  NaN	0.0089		1		172		  NaN
8	14	0		15.000	  NaN	0.0011		1		173		  NaN
8	15	0		15.000	  NaN	0.0192		1		174		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		14.350	  NaN	0.0094		1		13		  NaN
1	2	0		14.350	  NaN	0.0086		1		14		  NaN
1	3	1		14.350	  NaN	0.0081		1		15		  NaN
1	4	0		14.350	  NaN	0.0668		1		16		  NaN
1	5	0		14.350	  NaN	0.0070		1		17		  NaN
1	6	1		14.350	  NaN	0.0018		1		18		  NaN
1	7	0		14.350	  NaN	0.0380		1		19		  NaN
1	8	0		14.350	  NaN	0.0052		1		20		  NaN
1	9	1		14.350	  NaN	0.0042		1		21		  NaN
1	10	0		14.350	  NaN	0.0078		1		22		  NaN
1	11	0		14.350	  NaN	0.0022		1		23		  NaN
1	12	1		14.350	  NaN	-0.0031		1		24		  NaN
1	13	0		14.350	  NaN	0.0138		1		25		  NaN
1	14	0		14.350	  NaN	0.0001		1		26		  NaN
1	15	0		14.350	  NaN	0.0170		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		14.350	  NaN	0.0105		1		34		  NaN
2	2	0		14.350	  NaN	0.0132		1		35		  NaN
2	3	1		14.350	  NaN	0.0119		1		36		  NaN
2	4	0		14.350	  NaN	0.0178		1		37		  NaN
2	5	0		14.350	  NaN	-0.0002		1		38		  NaN
2	6	1		14.350	  NaN	0.0044		1		39		  NaN
2	7	0		14.350	  NaN	0.0208		1		40		  NaN
2	8	0		14.350	  NaN	0.0037		1		41		  NaN
2	9	1		14.350	  NaN	0.0051		1		42		  NaN
2	10	0		14.350	  NaN	0.0117		1		43		  NaN
2	11	0		14.350	  NaN	0.0057		1		44		  NaN
2	12	1		14.350	  NaN	0.0097		1		45		  NaN
2	13	0		14.350	  NaN	0.0216		1		46		  NaN
2	14	0		14.350	  NaN	0.0017		1		47		  NaN
2	15	0		14.350	  NaN	0.0030		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		14.350	  NaN	0.0089		1		55		  NaN
3	2	0		14.350	  NaN	0.0095		1		56		  NaN
3	3	1		14.350	  NaN	0.0106		1		57		  NaN
3	4	0		14.350	  NaN	0.0123		1		58		  NaN
3	5	0		14.350	  NaN	0.0041		1		59		  NaN
3	6	1		14.350	  NaN	0.0048		1		60		  NaN
3	7	0		14.350	  NaN	0.0245		1		61		  NaN
3	8	0		14.350	  NaN	0.0083		1		62		  NaN
3	9	1		14.350	  NaN	0.0089		1		63		  NaN
3	10	0		14.350	  NaN	0.0121		1		64		  NaN
3	11	0		14.350	  NaN	0.0065		1		65		  NaN
3	12	1		14.350	  NaN	0.0071		1		66		  NaN
3	13	0		14.350	  NaN	0.0163		1		67		  NaN
3	14	0		14.350	  NaN	0.0056		1		68		  NaN
3	15	0		14.350	  NaN	0.0037		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		14.350	  NaN	0.0009		1		76		  NaN
4	2	0		14.350	  NaN	0.0078		1		77		  NaN
4	3	1		14.350	  NaN	0.0091		1		78		  NaN
4	4	0		14.350	  NaN	0.0198		1		79		  NaN
4	5	0		14.350	  NaN	0.0051		1		80		  NaN
4	6	1		14.350	  NaN	0.0060		1		81		  NaN
4	7	0		14.350	  NaN	0.0135		1		82		  NaN
4	8	0		14.350	  NaN	0.0104		1		83		  NaN
4	9	1		14.350	  NaN	0.0017		1		84		  NaN
4	10	0		14.350	  NaN	0.0207		1		85		  NaN
4	11	0		14.350	  NaN	-0.0016		1		86		  NaN
4	12	1		14.350	  NaN	0.0060		1		87		  NaN
4	13	0		14.350	  NaN	0.0077		1		88		  NaN
4	14	0		14.350	  NaN	0.0029		1		89		  NaN
4	15	0		14.350	  NaN	0.0048		1		90		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
5	1	0		14.350	  NaN	-0.0008		1		97		  NaN
5	2	0		14.350	  NaN	0.0017		1		98		  NaN
5	3	1		14.350	  NaN	0.0021		1		99		  NaN
5	4	0		14.350	  NaN	0.0196		1		100		  NaN
5	5	0		14.350	  NaN	0.0057		1		101		  NaN
5	6	1		14.350	  NaN	0.0084		1		102		  NaN
5	7	0		14.350	  NaN	0.0138		1		103		  NaN
5	8	0		14.350	  NaN	-0.0015		1		104		  NaN
5	9	1		14.350	  NaN	0.0128		1		105		  NaN
5	10	0		14.350	  NaN	0.0185		1		106		  NaN
5	11	0		14.350	  NaN	0.0035		1		107		  NaN
5	12	1		14.350	  NaN	0.0053		1		108		  NaN
5	13	0		14.350	  NaN	0.0190		1		109		  NaN
5	14	0		14.350	  NaN	0.0041		1		110		  NaN
5	15	0		14.350	  NaN	0.0054		1		111		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
6	1	0		14.350	  NaN	0.0002		1		118		  NaN
6	2	0		14.350	  NaN	-0.0021		1		119		  NaN
6	3	1		14.350	  NaN	-0.0011		1		120		  NaN
6	4	0		14.350	  NaN	0.0331		1		121		  NaN
6	5	0		14.350	  NaN	-0.0029		1		122		  NaN
6	6	1		14.350	  NaN	-0.0035		1		123		  NaN
6	7	0		14.350	  NaN	0.0080		1		124		  NaN
6	8	0		14.350	  NaN	0.0075		1		125		  NaN
6	9	1		14.350	  NaN	-0.0050		1		126		  NaN
6	10	0		14.350	  NaN	0.0139		1		127		  NaN
6	11	0		14.350	  NaN	-0.0038		1		128		  NaN
6	12	1		14.350	  NaN	-0.0024		1		129		  NaN
6	13	0		14.350	  NaN	-0.0003		1		130		  NaN
6	14	0		14.350	  NaN	0.0019		1		131		  NaN
6	15	0		14.350	  NaN	0.0025		1		132		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
7	1	0		14.350	  NaN	0.0031		1		139		  NaN
7	2	0		14.350	  NaN	-0.0001		1		140		  NaN
7	3	1		14.350	  NaN	0.0014		1		141		  NaN
7	4	0		14.350	  NaN	0.0029		1		142		  NaN
7	5	0		14.350	  NaN	-0.0007		1		143		  NaN
7	6	1		14.350	  NaN	-0.0008		1		144		  NaN
7	7	0		14.350	  NaN	0.0089		1		145		  NaN
7	8	0		14.350	  NaN	0.0117		1		146		  NaN
7	9	1		14.350	  NaN	-0.0021		1		147		  NaN
7	10	0		14.350	  NaN	0.0132		1		148		  NaN
7	11	0		14.350	  NaN	-0.0023		1		149		  NaN
7	12	1		14.350	  NaN	-0.0002		1		150		  NaN
7	13	0		14.350	  NaN	0.0009		1		151		  NaN
7	14	0		14.350	  NaN	-0.0042		1		152		  NaN
7	15	0		14.350	  NaN	0.0053		1		153		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
8	1	0		14.350	  NaN	-0.0015		1		160		  NaN
8	2	0		14.350	  NaN	-0.0017		1		161		  NaN
8	3	1		14.350	  NaN	-0.0002		1		162		  NaN
8	4	0		14.350	  NaN	0.0196		1		163		  NaN
8	5	0		14.350	  NaN	0.0032		1		164		  NaN
8	6	1		14.350	  NaN	0.0120		1		165		  NaN
8	7	0		14.350	  NaN	0.0107		1		166		  NaN
8	8	0		14.350	  NaN	0.0004		1		167		  NaN
8	9	1		14.350	  NaN	-0.0023		1		168		  NaN
8	10	0		14.350	  NaN	0.0163		1		169		  NaN
8	11	0		14.350	  NaN	-0.0042		1		170		  NaN
8	12	1		14.350	  NaN	-0.0032		1		171		  NaN
8	13	0		14.350	  NaN	0.0153		1		172		  NaN
8	14	0		14.350	  NaN	-0.0030		1		173		  NaN
8	15	0		14.350	  NaN	-0.0036		1		174		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
9	1	0		14.350	  NaN	0.0005		1		181		  NaN
9	2	0		14.350	  NaN	-0.0025		1		182		  NaN
9	3	1		14.350	  NaN	0.0066		1		183		  NaN
9	4	0		14.350	  NaN	0.0183		1		184		  NaN
9	5	0		14.350	  NaN	0.0036		1		185		  NaN
9	6	1		14.350	  NaN	0.0013		1		186		  NaN
9	7	0		14.350	  NaN	0.0046		1		187		  NaN
9	8	0		14.350	  NaN	0.0039		1		188		  NaN
9	9	1		14.350	  NaN	-0.0037		1		189		  NaN
9	10	0		14.350	  NaN	0.0030		1		190		  NaN
9	11	0		14.350	  NaN	-0.0004		1		191		  NaN
9	12	1		14.350	  NaN	-0.0039		1		192		  NaN
9	13	0		14.350	  NaN	0.0156		1		193		  NaN
9	14	0		14.350	  NaN	-0.0000		1		194		  NaN
9	15	0		14.350	  NaN	-0.0014		1		195		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		-7.500	  NaN	0.0024		1		13		  NaN
1	2	0		-7.500	  NaN	0.0115		1		14		  NaN
1	3	1		-7.500	  NaN	0.0076		1		15		  NaN
1	4	0		-7.500	  NaN	0.0415		1		16		  NaN
1	5	0		-7.500	  NaN	0.0094		1		17		  NaN


SESSION 26 ended 12-Jun-2017 14:25:22 for SUBJECT number 100




******************************************************************************

SESSION 7 initiated 13-Jun-2017 19:56:54 for SUBJECT number 100

session	trial	pair	onset	dur	cue         	associate   
