
SESSION 2 initiated 24-Jun-2017 15:29:22 for SUBJECT number 6

session	trial	pair	onset	dur	cue         	associate   
2	1	7	2004  	2003  	PEBBLE      	pici30.jpg  
2	2	2	10011 	2002  	PUZZLE      	pici18.jpg  
2	3	6	18001 	2002  	BELL        	pici17.jpg  
2	4	1	26008 	2002  	ISLAND      	pico11.jpg  
2	5	8	34015 	2002  	HAMMER      	pico14.jpg  
2	6	4	42005 	2002  	CURTAIN     	pico20.jpg  
2	7	3	50012 	2002  	RAINBOW     	pici22.jpg  
2	8	5	58002 	2002  	PIN         	pico16.jpg  


SESSION 2 ended 24-Jun-2017 15:31:01 for SUBJECT number 6




******************************************************************************


SESSION 3 ended 24-Jun-2017 15:33:40 for SUBJECT number 6




******************************************************************************
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		15.000	  NaN	0.0146		1		55		  NaN
3	2	0		15.000	  NaN	0.0163		1		56		  NaN
3	3	1		15.000	  NaN	0.0156		1		57		  NaN
3	4	0		15.000	  NaN	0.0372		1		58		  NaN
3	5	0		15.000	  NaN	0.0047		1		59		  NaN
3	6	1		15.000	  NaN	0.0060		1		60		  NaN
3	7	0		15.000	  NaN	0.0424		1		61		  NaN
3	8	0		15.000	  NaN	0.0073		1		62		  NaN
3	9	1		15.000	  NaN	0.0112		1		63		  NaN
3	10	0		15.000	  NaN	0.0307		1		64		  NaN
3	11	0		15.000	  NaN	0.0145		1		65		  NaN
3	12	1		15.000	  NaN	0.0166		1		66		  NaN
3	13	0		15.000	  NaN	0.0360		1		67		  NaN
3	14	0		15.000	  NaN	0.0199		1		68		  NaN
3	15	0		15.000	  NaN	0.0047		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		15.000	  NaN	0.0094		1		76		  NaN
4	2	0		15.000	  NaN	0.0109		1		77		  NaN
4	3	1		15.000	  NaN	0.0126		1		78		  NaN
4	4	0		15.000	  NaN	0.0332		1		79		  NaN
4	5	0		15.000	  NaN	0.0160		1		80		  NaN
4	6	1		15.000	  NaN	0.0009		1		81		  NaN
4	7	0		15.000	  NaN	0.0215		1		82		  NaN
4	8	0		15.000	  NaN	0.0021		1		83		  NaN
4	9	1		15.000	  NaN	0.0060		1		84		  NaN
4	10	0		15.000	  NaN	0.0255		1		85		  NaN
4	11	0		15.000	  NaN	0.0076		1		86		  NaN
4	12	1		15.000	  NaN	0.0111		1		87		  NaN
4	13	0		15.000	  NaN	0.0312		1		88		  NaN
4	14	0		15.000	  NaN	0.0146		1		89		  NaN
4	15	0		15.000	  NaN	0.0162		1		90		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
5	1	0		15.000	  NaN	0.0114		1		97		  NaN
5	2	0		15.000	  NaN	0.0133		1		98		  NaN
5	3	1		15.000	  NaN	0.0149		1		99		  NaN
5	4	0		15.000	  NaN	0.0189		1		100		  NaN
5	5	0		15.000	  NaN	0.0185		1		101		  NaN
5	6	1		15.000	  NaN	0.0034		1		102		  NaN
5	7	0		15.000	  NaN	0.0233		1		103		  NaN
5	8	0		15.000	  NaN	0.0068		1		104		  NaN
5	9	1		15.000	  NaN	0.0085		1		105		  NaN
5	10	0		15.000	  NaN	0.0301		1		106		  NaN
5	11	0		15.000	  NaN	0.0119		1		107		  NaN
5	12	1		15.000	  NaN	0.0135		1		108		  NaN
5	13	0		15.000	  NaN	0.0297		1		109		  NaN
5	14	0		15.000	  NaN	0.0004		1		110		  NaN
5	15	0		15.000	  NaN	0.0187		1		111		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
6	1	0		15.000	  NaN	0.0142		1		118		  NaN
6	2	0		15.000	  NaN	0.0138		1		119		  NaN
6	3	1		15.000	  NaN	0.0013		1		120		  NaN
6	4	0		15.000	  NaN	0.0214		1		121		  NaN
6	5	0		15.000	  NaN	0.0042		1		122		  NaN
6	6	1		15.000	  NaN	0.0055		1		123		  NaN
6	7	0		15.000	  NaN	0.0270		1		124		  NaN
6	8	0		15.000	  NaN	0.0092		1		125		  NaN
6	9	1		15.000	  NaN	0.0107		1		126		  NaN
6	10	0		15.000	  NaN	0.0321		1		127		  NaN
6	11	0		15.000	  NaN	0.0143		1		128		  NaN
6	12	1		15.000	  NaN	0.0139		1		129		  NaN
6	13	0		15.000	  NaN	0.0153		1		130		  NaN
6	14	0		15.000	  NaN	0.0193		1		131		  NaN
6	15	0		15.000	  NaN	0.0042		1		132		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
7	1	0		15.000	  NaN	0.0165		1		139		  NaN
7	2	0		15.000	  NaN	0.0013		1		140		  NaN
7	3	1		15.000	  NaN	0.0027		1		141		  NaN
7	4	0		15.000	  NaN	0.0246		1		142		  NaN
7	5	0		15.000	  NaN	0.0063		1		143		  NaN
7	6	1		15.000	  NaN	0.0081		1		144		  NaN
7	7	0		15.000	  NaN	0.0301		1		145		  NaN
7	8	0		15.000	  NaN	0.0116		1		146		  NaN
7	9	1		15.000	  NaN	0.0109		1		147		  NaN
7	10	0		15.000	  NaN	0.0347		1		148		  NaN
7	11	0		15.000	  NaN	0.0167		1		149		  NaN
7	12	1		15.000	  NaN	0.0186		1		150		  NaN
7	13	0		15.000	  NaN	0.0238		1		151		  NaN
7	14	0		15.000	  NaN	0.0050		1		152		  NaN
7	15	0		15.000	  NaN	0.0066		1		153		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
8	1	0		15.000	  NaN	0.0187		1		160		  NaN
8	2	0		15.000	  NaN	0.0035		1		161		  NaN
8	3	1		15.000	  NaN	0.0053		1		162		  NaN
8	4	0		15.000	  NaN	0.0216		1		163		  NaN
8	5	0		15.000	  NaN	0.0086		1		164		  NaN
8	6	1		15.000	  NaN	0.0104		1		165		  NaN
8	7	0		15.000	  NaN	0.0314		1		166		  NaN
8	8	0		15.000	  NaN	0.0136		1		167		  NaN
8	9	1		15.000	  NaN	0.0155		1		168		  NaN
8	10	0		15.000	  NaN	0.0200		1		169		  NaN
8	11	0		15.000	  NaN	0.0023		1		170		  NaN
8	12	1		15.000	  NaN	0.0041		1		171		  NaN
8	13	0		15.000	  NaN	0.0251		1		172		  NaN
8	14	0		15.000	  NaN	0.0074		1		173		  NaN
8	15	0		15.000	  NaN	0.0091		1		174		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
1	1	0		14.350	  NaN	-0.0001		1		13		  NaN
1	2	0		14.350	  NaN	-0.0008		1		14		  NaN
1	3	1		14.350	  NaN	0.0014		1		15		  NaN
1	4	0		14.350	  NaN	0.0058		1		16		  NaN
1	5	0		14.350	  NaN	0.0067		1		17		  NaN
1	6	1		14.350	  NaN	0.0248		1		18		  NaN
1	7	0		14.350	  NaN	0.0277		1		19		  NaN
1	8	0		14.350	  NaN	0.0119		1		20		  NaN
1	9	1		14.350	  NaN	0.0118		1		21		  NaN
1	10	0		14.350	  NaN	0.0152		1		22		  NaN
1	11	0		14.350	  NaN	-0.0016		1		23		  NaN
1	12	1		14.350	  NaN	-0.0005		1		24		  NaN
1	13	0		14.350	  NaN	0.0184		1		25		  NaN
1	14	0		14.350	  NaN	0.0053		1		26		  NaN
1	15	0		14.350	  NaN	0.0069		1		27		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
2	1	0		15.805	  NaN	0.0025		1		34		  NaN
2	2	0		15.805	  NaN	0.0029		1		35		  NaN
2	3	1		15.805	  NaN	0.0054		1		36		  NaN
2	4	0		15.805	  NaN	0.0077		1		37		  NaN
2	5	0		15.805	  NaN	0.0091		1		38		  NaN
2	6	1		15.805	  NaN	0.0107		1		39		  NaN
2	7	0		15.805	  NaN	0.0125		1		40		  NaN
2	8	0		15.805	  NaN	0.0141		1		41		  NaN
2	9	1		15.805	  NaN	0.0158		1		42		  NaN
2	10	0		15.805	  NaN	0.0177		1		43		  NaN
2	11	0		15.805	  NaN	0.0025		1		44		  NaN
2	12	1		15.805	  NaN	0.0041		1		45		  NaN
2	13	0		15.805	  NaN	0.0062		1		46		  NaN
2	14	0		15.805	  NaN	0.0075		1		47		  NaN
2	15	0		15.805	  NaN	0.0095		1		48		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
3	1	0		16.980	  NaN	0.0049		1		55		  NaN
3	2	0		16.980	  NaN	0.0062		1		56		  NaN
3	3	1		16.980	  NaN	0.0082		1		57		  NaN
3	4	0		16.980	  NaN	0.0242		1		58		  NaN
3	5	0		16.980	  NaN	0.0115		1		59		  NaN
3	6	1		16.980	  NaN	0.0129		1		60		  NaN
3	7	0		16.980	  NaN	0.0154		1		61		  NaN
3	8	0		16.980	  NaN	-0.0019		1		62		  NaN
3	9	1		16.980	  NaN	0.0013		1		63		  NaN
3	10	0		16.980	  NaN	0.0206		1		64		  NaN
3	11	0		16.980	  NaN	0.0049		1		65		  NaN
3	12	1		16.980	  NaN	0.0066		1		66		  NaN
3	13	0		16.980	  NaN	0.0261		1		67		  NaN
3	14	0		16.980	  NaN	0.0100		1		68		  NaN
3	15	0		16.980	  NaN	0.0115		1		69		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
4	1	0		17.994	  NaN	0.0072		1		76		  NaN
4	2	0		17.994	  NaN	0.0086		1		77		  NaN
4	3	1		17.994	  NaN	0.0103		1		78		  NaN
4	4	0		17.994	  NaN	0.0127		1		79		  NaN
4	5	0		17.994	  NaN	0.0136		1		80		  NaN
4	6	1		17.994	  NaN	0.0152		1		81		  NaN
4	7	0		17.994	  NaN	0.0185		1		82		  NaN
4	8	0		17.994	  NaN	0.0020		1		83		  NaN
4	9	1		17.994	  NaN	0.0040		1		84		  NaN
4	10	0		17.994	  NaN	0.0068		1		85		  NaN
4	11	0		17.994	  NaN	0.0071		1		86		  NaN
4	12	1		17.994	  NaN	0.0090		1		87		  NaN
4	13	0		17.994	  NaN	0.0121		1		88		  NaN
4	14	0		17.994	  NaN	0.0124		1		89		  NaN
4	15	0		17.994	  NaN	-0.0026		1		90		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
5	1	0		16.020	  NaN	0.0095		1		97		  NaN
5	2	0		16.020	  NaN	0.0109		1		98		  NaN
5	3	1		16.020	  NaN	0.0130		1		99		  NaN
5	4	0		16.020	  NaN	0.0161		1		100		  NaN
5	5	0		16.020	  NaN	0.0160		1		101		  NaN
5	6	1		16.020	  NaN	0.0012		1		102		  NaN
5	7	0		16.020	  NaN	0.0208		1		103		  NaN
5	8	0		16.020	  NaN	0.0043		1		104		  NaN
5	9	1		16.020	  NaN	0.0062		1		105		  NaN
5	10	0		16.020	  NaN	0.0098		1		106		  NaN
5	11	0		16.020	  NaN	0.0094		1		107		  NaN
5	12	1		16.020	  NaN	0.0111		1		108		  NaN
5	13	0		16.020	  NaN	0.0152		1		109		  NaN
5	14	0		16.020	  NaN	-0.0042		1		110		  NaN
5	15	0		16.020	  NaN	-0.0003		1		111		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
6	1	0		16.679	  NaN	0.0054		1		118		  NaN
6	2	0		16.679	  NaN	0.0070		1		119		  NaN
6	3	1		16.679	  NaN	0.0085		1		120		  NaN
6	4	0		16.679	  NaN	0.0292		1		121		  NaN
6	5	0		16.679	  NaN	0.0119		1		122		  NaN
6	6	1		16.679	  NaN	-0.0029		1		123		  NaN
6	7	0		16.679	  NaN	0.0176		1		124		  NaN
6	8	0		16.679	  NaN	0.0005		1		125		  NaN
6	9	1		16.679	  NaN	0.0018		1		126		  NaN
6	10	0		16.679	  NaN	0.0228		1		127		  NaN
6	11	0		16.679	  NaN	0.0054		1		128		  NaN
6	12	1		16.679	  NaN	0.0070		1		129		  NaN
6	13	0		16.679	  NaN	0.0282		1		130		  NaN
6	14	0		16.679	  NaN	0.0103		1		131		  NaN
6	15	0		16.679	  NaN	0.0124		1		132		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
7	1	0		17.083	  NaN	0.0075		1		139		  NaN
7	2	0		17.083	  NaN	0.0090		1		140		  NaN
7	3	1		17.083	  NaN	0.0109		1		141		  NaN
7	4	0		17.083	  NaN	0.0169		1		142		  NaN
7	5	0		17.083	  NaN	0.0142		1		143		  NaN
7	6	1		17.083	  NaN	-0.0005		1		144		  NaN
7	7	0		17.083	  NaN	0.0211		1		145		  NaN
7	8	0		17.083	  NaN	0.0027		1		146		  NaN
7	9	1		17.083	  NaN	0.0044		1		147		  NaN
7	10	0		17.083	  NaN	0.0259		1		148		  NaN
7	11	0		17.083	  NaN	0.0076		1		149		  NaN
7	12	1		17.083	  NaN	0.0307		1		150		  NaN
7	13	0		17.083	  NaN	0.0155		1		151		  NaN
7	14	0		17.083	  NaN	0.0131		1		152		  NaN
7	15	0		17.083	  NaN	0.0147		1		153		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
8	1	0		17.323	  NaN	0.0100		1		160		  NaN
8	2	0		17.323	  NaN	0.0116		1		161		  NaN
8	3	1		17.323	  NaN	0.0131		1		162		  NaN
8	4	0		17.323	  NaN	0.0200		1		163		  NaN
8	5	0		17.323	  NaN	-0.0020		1		164		  NaN
8	6	1		17.323	  NaN	0.0014		1		165		  NaN
8	7	0		17.323	  NaN	0.0227		1		166		  NaN
8	8	0		17.323	  NaN	0.0050		1		167		  NaN
8	9	1		17.323	  NaN	0.0068		1		168		  NaN
8	10	0		17.323	  NaN	0.0276		1		169		  NaN
8	11	0		17.323	  NaN	0.0101		1		170		  NaN
8	12	1		17.323	  NaN	0.0119		1		171		  NaN
8	13	0		17.323	  NaN	-0.0054		1		172		  NaN
8	14	0		17.323	  NaN	0.0129		1		173		  NaN
8	15	0		17.323	  NaN	-0.0019		1		174		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
9	1	0		17.502	  NaN	0.0124		1		181		  NaN
9	2	0		17.502	  NaN	-0.0027		1		182		  NaN
9	3	1		17.502	  NaN	0.0157		1		183		  NaN
9	4	0		17.502	  NaN	0.0199		1		184		  NaN
9	5	0		17.502	  NaN	0.0024		1		185		  NaN
9	6	1		17.502	  NaN	0.0040		1		186		  NaN
9	7	0		17.502	  NaN	0.0270		1		187		  NaN
9	8	0		17.502	  NaN	0.0076		1		188		  NaN
9	9	1		17.502	  NaN	0.0091		1		189		  NaN
9	10	0		17.502	  NaN	0.0296		1		190		  NaN
9	11	0		17.502	  NaN	0.0108		1		191		  NaN
9	12	1		17.502	  NaN	-0.0024		1		192		  NaN
9	13	0		17.502	  NaN	0.0184		1		193		  NaN
9	14	0		17.502	  NaN	0.0011		1		194		  NaN
9	15	0		17.502	  NaN	0.0028		1		195		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
10	1	0		17.658	  NaN	0.0146		1		202		  NaN
10	2	0		17.658	  NaN	-0.0002		1		203		  NaN
10	3	1		17.658	  NaN	0.0012		1		204		  NaN
10	4	0		17.658	  NaN	0.0240		1		205		  NaN
10	5	0		17.658	  NaN	0.0045		1		206		  NaN
10	6	1		17.658	  NaN	0.0064		1		207		  NaN
10	7	0		17.658	  NaN	0.0290		1		208		  NaN
10	8	0		17.658	  NaN	0.0097		1		209		  NaN
10	9	1		17.658	  NaN	0.0116		1		210		  NaN
10	10	0		17.658	  NaN	0.0164		1		211		  NaN
10	11	0		17.658	  NaN	-0.0017		1		212		  NaN
10	12	1		17.658	  NaN	-0.0002		1		213		  NaN
10	13	0		17.658	  NaN	0.0228		1		214		  NaN
10	14	0		17.658	  NaN	0.0032		1		215		  NaN
10	15	0		17.658	  NaN	0.0050		1		216		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
11	1	0		17.808	  NaN	0.0177		1		223		  NaN
11	2	0		17.808	  NaN	0.0025		1		224		  NaN
11	3	1		17.808	  NaN	0.0043		1		225		  NaN
11	4	0		17.808	  NaN	0.0088		1		226		  NaN
11	5	0		17.808	  NaN	0.0076		1		227		  NaN
11	6	1		17.808	  NaN	0.0093		1		228		  NaN
11	7	0		17.808	  NaN	0.0148		1		229		  NaN
11	8	0		17.808	  NaN	0.0128		1		230		  NaN
11	9	1		17.808	  NaN	0.0144		1		231		  NaN
11	10	0		17.808	  NaN	0.0038		1		232		  NaN
11	11	0		17.808	  NaN	0.0009		1		233		  NaN
11	12	1		17.808	  NaN	0.0030		1		234		  NaN
11	13	0		17.808	  NaN	0.0248		1		235		  NaN
11	14	0		17.808	  NaN	0.0043		1		236		  NaN
11	15	0		17.808	  NaN	0.0081		1		237		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
12	1	0		17.962	  NaN	0.0031		1		244		  NaN
12	2	0		17.962	  NaN	0.0050		1		245		  NaN
12	3	1		17.962	  NaN	0.0067		1		246		  NaN
12	4	0		17.962	  NaN	0.0117		1		247		  NaN
12	5	0		17.962	  NaN	0.0100		1		248		  NaN
12	6	1		17.962	  NaN	0.0118		1		249		  NaN
12	7	0		17.962	  NaN	0.0168		1		250		  NaN
12	8	0		17.962	  NaN	0.0151		1		251		  NaN
12	9	1		17.962	  NaN	-0.0023		1		252		  NaN
12	10	0		17.962	  NaN	0.0059		1		253		  NaN
12	11	0		17.962	  NaN	0.0034		1		254		  NaN
12	12	1		17.962	  NaN	0.0051		1		255		  NaN
12	13	0		17.962	  NaN	0.0112		1		256		  NaN
12	14	0		17.962	  NaN	0.0087		1		257		  NaN
12	15	0		17.962	  NaN	0.0101		1		258		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
13	1	0		18.437	  NaN	0.0055		1		265		  NaN
13	2	0		18.437	  NaN	0.0070		1		266		  NaN
13	3	1		18.437	  NaN	0.0090		1		267		  NaN
13	4	0		18.437	  NaN	0.0153		1		268		  NaN
13	5	0		18.437	  NaN	0.0121		1		269		  NaN
13	6	1		18.437	  NaN	0.0141		1		270		  NaN
13	7	0		18.437	  NaN	0.0515		1		271		  NaN
13	8	0		18.437	  NaN	-0.0016		1		272		  NaN
13	9	1		18.437	  NaN	0.0023		1		273		  NaN
13	10	0		18.437	  NaN	0.0066		1		274		  NaN
13	11	0		18.437	  NaN	0.0057		1		275		  NaN
13	12	1		18.437	  NaN	0.0076		1		276		  NaN
13	13	0		18.437	  NaN	0.0080		1		277		  NaN
13	14	0		18.437	  NaN	0.0110		1		278		  NaN
13	15	0		18.437	  NaN	0.0126		1		279		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
14	1	0		19.257	  NaN	0.0082		1		286		  NaN
14	2	0		19.257	  NaN	0.0097		1		287		  NaN
14	3	1		19.257	  NaN	0.0115		1		288		  NaN
14	4	0		19.257	  NaN	0.0151		1		289		  NaN
14	5	0		19.257	  NaN	0.0125		1		290		  NaN
14	6	1		19.257	  NaN	0.0164		1		291		  NaN
14	7	0		19.257	  NaN	0.0207		1		292		  NaN
14	8	0		19.257	  NaN	0.0032		1		293		  NaN
14	9	1		19.257	  NaN	0.0048		1		294		  NaN
14	10	0		19.257	  NaN	0.0109		1		295		  NaN
14	11	0		19.257	  NaN	0.0083		1		296		  NaN
14	12	1		19.257	  NaN	0.0099		1		297		  NaN
14	13	0		19.257	  NaN	0.0120		1		298		  NaN
14	14	0		19.257	  NaN	0.0133		1		299		  NaN
14	15	0		19.257	  NaN	0.0150		1		300		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
15	1	0		20.041	  NaN	0.0105		1		307		  NaN
15	2	0		20.041	  NaN	0.0119		1		308		  NaN
15	3	1		20.041	  NaN	0.0136		1		309		  NaN
15	4	0		20.041	  NaN	-0.0028		1		310		  NaN
15	5	0		20.041	  NaN	0.0006		1		311		  NaN
15	6	1		20.041	  NaN	0.0021		1		312		  NaN
15	7	0		20.041	  NaN	0.0019		1		313		  NaN
15	8	0		20.041	  NaN	0.0057		1		314		  NaN
15	9	1		20.041	  NaN	0.0071		1		315		  NaN
15	10	0		20.041	  NaN	0.0085		1		316		  NaN
15	11	0		20.041	  NaN	0.0107		1		317		  NaN
15	12	1		20.041	  NaN	0.0124		1		318		  NaN
15	13	0		20.041	  NaN	0.0163		1		319		  NaN
15	14	0		20.041	  NaN	-0.0013		1		320		  NaN
15	15	0		20.041	  NaN	0.0005		1		321		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
16	1	0		20.737	  NaN	0.0110		1		328		  NaN
16	2	0		20.737	  NaN	0.0294		1		329		  NaN
16	3	1		20.737	  NaN	0.0142		1		330		  NaN
16	4	0		20.737	  NaN	-0.0022		1		331		  NaN
16	5	0		20.737	  NaN	0.0008		1		332		  NaN
16	6	1		20.737	  NaN	0.0025		1		333		  NaN
16	7	0		20.737	  NaN	0.0021		1		334		  NaN
16	8	0		20.737	  NaN	0.0039		1		335		  NaN
16	9	1		20.737	  NaN	0.0076		1		336		  NaN
16	10	0		20.737	  NaN	0.0071		1		337		  NaN
16	11	0		20.737	  NaN	0.0110		1		338		  NaN
16	12	1		20.737	  NaN	0.0130		1		339		  NaN
16	13	0		20.737	  NaN	0.0154		1		340		  NaN
16	14	0		20.737	  NaN	0.0331		1		341		  NaN
16	15	0		20.737	  NaN	0.0013		1		342		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
17	1	0		21.384	  NaN	0.0135		1		349		  NaN
17	2	0		21.384	  NaN	0.0147		1		350		  NaN
17	3	1		21.384	  NaN	0.0167		1		351		  NaN
17	4	0		21.384	  NaN	0.0171		1		352		  NaN
17	5	0		21.384	  NaN	0.0035		1		353		  NaN
17	6	1		21.384	  NaN	0.0050		1		354		  NaN
17	7	0		21.384	  NaN	0.0071		1		355		  NaN
17	8	0		21.384	  NaN	0.0086		1		356		  NaN
17	9	1		21.384	  NaN	0.0104		1		357		  NaN
17	10	0		21.384	  NaN	0.0108		1		358		  NaN
17	11	0		21.384	  NaN	0.0136		1		359		  NaN
17	12	1		21.384	  NaN	0.0151		1		360		  NaN
17	13	0		21.384	  NaN	0.0140		1		361		  NaN
17	14	0		21.384	  NaN	0.0018		1		362		  NaN
17	15	0		21.384	  NaN	0.0203		1		363		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
18	1	0		21.384	  NaN	0.0157		1		370		  NaN
18	2	0		21.384	  NaN	0.0005		1		371		  NaN
18	3	1		21.384	  NaN	0.0022		1		372		  NaN
18	4	0		21.384	  NaN	0.0240		1		373		  NaN
18	5	0		21.384	  NaN	0.0033		1		374		  NaN
18	6	1		21.384	  NaN	0.0074		1		375		  NaN
18	7	0		21.384	  NaN	0.0259		1		376		  NaN
18	8	0		21.384	  NaN	0.0085		1		377		  NaN
18	9	1		21.384	  NaN	0.0123		1		378		  NaN
18	10	0		21.384	  NaN	0.0324		1		379		  NaN
18	11	0		21.384	  NaN	0.0325		1		380		  NaN
18	12	1		21.384	  NaN	0.0009		1		381		  NaN
18	13	0		21.384	  NaN	0.0041		1		382		  NaN
18	14	0		21.384	  NaN	0.0041		1		383		  NaN
18	15	0		21.384	  NaN	0.0063		1		384		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
19	1	0		22.005	  NaN	0.0015		1		391		  NaN
19	2	0		22.005	  NaN	0.0364		1		392		  NaN
19	3	1		22.005	  NaN	0.0047		1		393		  NaN
19	4	0		22.005	  NaN	0.0247		1		394		  NaN
19	5	0		22.005	  NaN	0.0083		1		395		  NaN
19	6	1		22.005	  NaN	0.0096		1		396		  NaN
19	7	0		22.005	  NaN	0.0282		1		397		  NaN
19	8	0		22.005	  NaN	0.0298		1		398		  NaN
19	9	1		22.005	  NaN	0.0315		1		399		  NaN
19	10	0		22.005	  NaN	0.0142		1		400		  NaN
19	11	0		22.005	  NaN	0.0015		1		401		  NaN
19	12	1		22.005	  NaN	0.0033		1		402		  NaN
19	13	0		22.005	  NaN	0.0035		1		403		  NaN
19	14	0		22.005	  NaN	0.0044		1		404		  NaN
19	15	0		22.005	  NaN	0.0085		1		405		  NaN
trial	TR	prompt active	speed	ds	flip error	Found File #	ThisTR	CategSep
20	1	0		20.804	  NaN	0.0038		1		412		  NaN
20	2	0		20.804	  NaN	0.0052		1		413		  NaN
20	3	1		20.804	  NaN	0.0073		1		414		  NaN
20	4	0		20.804	  NaN	0.0254		1		415		  NaN
20	5	0		20.804	  NaN	0.0105		1		416		  NaN
20	6	1		20.804	  NaN	0.0120		1		417		  NaN
20	7	0		20.804	  NaN	0.0640		1		418		  NaN
20	8	0		20.804	  NaN	0.0157		1		419		  NaN
20	9	1		20.804	  NaN	0.0005		1		420		  NaN
20	10	0		20.804	  NaN	0.0166		1		421		  NaN
20	11	0		20.804	  NaN	0.0039		1		422		  NaN
20	12	1		20.804	  NaN	0.0057		1		423		  NaN
20	13	0		20.804	  NaN	0.0239		1		424		  NaN
